"year","team","conf","seed","postseason","barthag","barthag_perform","wab","wab_perform","w","adjoe","adjoe_perform","adjde","adjde_perform","tor","tord","orb","drb","ftr","ftrd","2p_o","2p_d","3p_o","3p_d","adj_t","actual_rounds","expected_rounds","round_perform","cinderella_matrix","cm_year_rank","avg_seed_cm","cm_perform","avg_round_cm","cm_round_perform"
2017,"Purdue","B10",4,"S16","0.9297","0.135","5.6","4.206",27,"116.6","5.376","93.1","3.455","18.3","16.6","30.8","24.4","33.3","22.9","52.7","46.6","40.3","33.2","70.4",2,"1.67","0.330","9.296","17","7.137","2.159","5.427","3.869"
2013,"Michigan St.","B10",3,"S16","0.9392","0.144","6.7","5.306",26,"111.4","0.176","87.8","8.755","20.8","19.2","36.1","27.6","36.6","32.4","50.4","44.3","34.1","30.1","64.4",2,"1.83","0.170","9.245","10","7.944","1.301","5.427","3.818"
2018,"Michigan St.","B10",3,"R32","0.9347","0.140","8.0","6.606",30,"118.9","7.676","94.3","2.255","19.2","14.6","37.0","26.6","35.9","30.7","55.2","38.4","40.1","33.7","68.0",1,"1.83","-0.830","9.241","8","7.944","1.297","2.709","6.532"
2016,"Indiana","B10",5,"S16","0.9168","0.122","3.2","1.806",27,"121.3","10.076","98.4","-1.845","19.6","18.9","37.2","29.2","33.9","30.2","56.1","49.0","41.6","34.3","69.5",2,"1.15","0.850","9.203","9","6.033","3.170","5.427","3.776"
2015,"Wichita St.","MVC",7,"S16","0.9277","0.133","4.2","2.806",29,"114.3","3.076","91.5","5.055","15.0","21.3","34.5","27.4","36.2","36.6","48.9","42.6","35.4","35.3","62.6",2,"1.08","0.920","9.184","12","2.839","6.345","5.427","3.757"
2017,"Wisconsin","B10",8,"S16","0.9255","0.130","5.1","3.706",27,"114.5","3.276","92.0","4.555","17.0","19.5","35.9","25.9","32.9","28.0","51.1","43.1","35.9","37.6","64.4",2,"0.80","1.200","9.161","18","2.325","6.836","5.427","3.734"
2017,"Iowa St.","B12",5,"R32","0.9265","0.131","6.5","5.106",24,"120.0","8.776","96.2","0.355","14.1","19.5","25.7","31.6","27.6","25.6","51.8","47.5","40.0","34.6","69.6",1,"1.15","-0.150","9.112","19","6.033","3.079","2.709","6.403"
2013,"Arizona","P12",6,"S16","0.9229","0.128","4.6","3.206",27,"114.4","3.176","92.2","4.355","19.5","19.8","35.0","26.7","37.4","32.9","50.6","43.4","37.1","35.8","66.8",2,"0.73","1.270","8.929","11","4.018","4.911","5.427","3.502"
2022,"Arizona","P12",1,"S16","0.9341","0.139","8.8","7.406",33,"118.0","6.776","93.7","2.855","18.3","17.4","34.7","28.6","34.9","24.0","57.0","41.8","35.3","32.8","72.3",2,"2.88","-0.880","8.890","11","14.255","-5.365","5.427","3.463"
2022,"Tennessee","SEC",3,"R32","0.9439","0.149","8.0","6.606",27,"111.3","0.076","87.1","9.455","17.7","22.9","32.4","27.2","29.0","31.5","48.5","46.0","35.9","31.3","67.4",1,"1.83","-0.830","8.850","12","7.944","0.906","2.709","6.141"
2017,"Cincinnati","Amer",6,"R32","0.9292","0.134","5.6","4.206",30,"115.2","3.976","92.1","4.455","15.3","20.2","35.5","29.4","32.5","29.1","52.1","41.4","34.5","34.4","65.4",1,"0.73","0.270","8.835","20","4.018","4.817","2.709","6.126"
2017,"UCLA","P12",3,"S16","0.9175","0.122","6.6","5.206",31,"122.8","11.576","99.6","-3.045","15.1","15.8","29.1","28.6","26.8","25.4","59.1","45.3","40.6","36.5","74.6",2,"1.83","0.170","8.823","21","7.944","0.879","5.427","3.396"
2015,"Louisville","ACC",4,"E8","0.9290","0.134","5.8","4.406",27,"109.4","-1.824","87.4","9.155","17.2","21.3","34.7","30.8","38.7","33.3","48.4","43.3","30.7","30.3","65.6",3,"1.67","1.330","8.795","13","7.137","1.658","7.704","1.091"
2014,"Pittsburgh","ACC",9,"R32","0.9261","0.131","4.1","2.706",26,"117.1","5.876","94.0","2.555","16.3","19.2","37.2","29.0","44.3","36.4","50.1","45.5","35.1","32.6","63.8",1,"0.77","0.230","8.792","12","1.981","6.811","2.709","6.083"
2015,"Oklahoma","B12",3,"S16","0.9349","0.140","4.5","3.106",24,"111.6","0.376","88.5","8.055","17.6","19.7","31.5","31.4","32.8","28.4","48.2","42.2","34.3","31.7","67.5",2,"1.83","0.170","8.741","14","7.944","0.797","5.427","3.314"
2016,"Miami FL","ACC",3,"S16","0.9203","0.125","6.9","5.506",27,"119.4","8.176","96.5","0.055","16.5","17.4","30.1","29.5","40.7","29.1","53.2","46.9","37.5","34.4","67.0",2,"1.83","0.170","8.526","10","7.944","0.582","5.427","3.099"
2021,"Ohio St.","B10",2,"R64","0.9340","0.139","6.0","4.606",21,"122.1","10.876","97.0","-0.445","15.3","15.0","29.1","27.4","37.6","33.8","52.1","47.4","36.5","34.1","66.9",0,"2.05","-2.050","8.520","8","11.138","-2.618","-4.507","13.027"
2016,"Iowa St.","B12",3,"S16","0.9162","0.121","3.6","2.206",23,"121.4","10.176","98.6","-2.045","15.7","16.8","26.2","30.1","26.1","24.9","56.7","49.5","38.7","33.5","72.3",2,"1.83","0.170","8.422","11","7.944","0.478","5.427","2.995"
2016,"Wichita St.","MVC",11,"R32","0.9321","0.137","0.2","-1.194",25,"110.3","-0.924","87.8","8.755","14.7","23.2","31.7","23.6","37.4","45.4","49.2","42.1","32.3","32.7","66.8",1,"0.64","0.360","8.328","12","0.224","8.104","2.709","5.619"
2018,"Cincinnati","Amer",2,"R32","0.9417","0.147","5.9","4.506",31,"111.6","0.376","87.7","8.855","17.0","21.6","38.5","28.2","36.0","26.8","50.2","41.4","35.3","30.9","66.2",1,"2.05","-1.050","8.328","9","11.138","-2.810","2.709","5.619"
2021,"Alabama","SEC",2,"S16","0.9343","0.139","6.8","5.406",24,"111.0","-0.224","88.1","8.455","18.6","21.1","31.5","29.8","28.6","31.9","50.1","46.4","35.1","28.8","73.9",2,"2.05","-0.050","8.320","9","11.138","-2.818","5.427","2.893"
2013,"Wichita St.","MVC",9,"F4","0.9045","0.109","2.2","0.806",30,"110.6","-0.624","91.0","5.555","19.4","20.0","38.0","26.5","36.5","38.3","49.6","43.6","33.9","32.2","65.0",4,"0.77","3.230","8.270","12","1.981","6.289","7.121","1.149"
2022,"Iowa","B10",5,"R64","0.9265","0.131","4.5","3.106",26,"121.1","9.876","97.2","-0.645","13.0","19.2","32.3","30.0","30.0","26.3","52.5","49.9","36.3","32.9","69.8",0,"1.15","-1.150","8.212","13","6.033","2.179","-4.507","12.719"
2017,"Notre Dame","ACC",5,"R32","0.9205","0.125","5.9","4.506",26,"119.3","8.076","96.4","0.155","14.0","18.7","27.3","30.8","28.6","26.7","50.9","48.2","38.4","33.8","68.3",1,"1.15","-0.150","8.206","22","6.033","2.173","2.709","5.497"
2014,"UCLA","P12",4,"S16","0.9167","0.122","4.5","3.106",28,"119.0","7.776","96.6","-0.045","14.5","20.3","29.8","28.6","38.2","35.7","53.0","48.6","38.0","34.4","70.2",2,"1.67","0.330","8.183","13","7.137","1.046","5.427","2.756"
2017,"Baylor","B12",3,"S16","0.9226","0.128","7.9","6.506",27,"116.4","5.176","93.9","2.655","20.6","17.1","39.8","29.4","33.9","30.1","52.2","45.0","35.3","32.2","65.1",2,"1.83","0.170","8.129","23","7.944","0.185","5.427","2.702"
2016,"Purdue","B10",5,"R64","0.9316","0.137","4.4","3.006",26,"117.2","5.976","93.4","3.155","17.7","13.7","35.0","23.4","35.4","28.1","52.8","42.9","36.7","31.4","68.9",0,"1.15","-1.150","8.118","13","6.033","2.085","-4.507","12.625"
2018,"Gonzaga","WCC",4,"S16","0.9192","0.124","4.9","3.506",32,"117.2","5.976","94.9","1.655","16.1","17.4","33.0","23.1","32.1","29.1","58.2","44.1","36.8","35.0","70.5",2,"1.67","0.330","8.085","10","7.137","0.948","5.427","2.658"
2016,"Duke","ACC",4,"S16","0.9122","0.117","4.2","2.806",25,"121.2","9.976","98.9","-2.345","14.3","17.4","33.2","34.7","40.6","25.3","51.0","48.9","38.5","34.0","68.7",2,"1.67","0.330","8.078","14","7.137","0.941","5.427","2.651"
2017,"South Carolina","SEC",7,"F4","0.9083","0.113","1.7","0.306",26,"108.7","-2.524","89.0","7.555","18.4","24.3","34.0","31.6","40.2","44.5","45.9","45.4","33.4","30.6","69.6",4,"1.08","2.920","8.064","24","2.839","5.225","7.121","0.943"
2016,"West Virginia","B12",3,"R64","0.9396","0.145","7.4","6.006",26,"114.8","3.576","90.4","6.155","20.0","25.0","42.0","27.1","46.2","55.3","50.3","47.7","32.5","33.1","70.9",0,"1.83","-1.830","8.046","15","7.944","0.102","-4.507","12.553"
2014,"Kansas","B12",2,"R32","0.9270","0.132","6.9","5.506",25,"119.2","7.976","95.6","0.955","19.1","16.4","37.3","28.8","48.3","45.5","55.5","44.3","34.0","35.5","68.2",1,"2.05","-1.050","8.013","14","11.138","-3.125","2.709","5.304"
2018,"North Carolina","ACC",2,"R32","0.9242","0.129","7.1","5.706",26,"120.7","9.476","97.1","-0.545","16.7","16.3","37.4","25.5","28.0","26.0","51.0","45.3","35.9","38.0","72.6",1,"2.05","-1.050","8.010","11","11.138","-3.128","2.709","5.301"
2014,"Creighton","BE",3,"R32","0.9144","0.119","5.6","4.206",27,"125.2","13.976","101.9","-5.345","15.0","14.8","27.7","27.8","33.9","33.0","56.3","47.0","41.4","34.2","65.4",1,"1.83","-0.830","7.920","15","7.944","-0.024","2.709","5.211"
2018,"Texas Tech","B12",3,"E8","0.9170","0.122","4.7","3.306",27,"112.7","1.476","91.5","5.055","17.8","21.7","32.9","28.7","39.3","38.0","51.1","45.1","35.9","32.3","67.6",3,"1.83","1.170","7.823","12","7.944","-0.121","7.704","0.119"
2016,"Oregon","P12",1,"E8","0.9163","0.121","6.7","5.306",30,"118.4","7.176","96.2","0.355","16.1","20.2","34.1","30.5","40.3","32.0","52.6","46.1","34.4","36.2","69.0",3,"2.88","0.120","7.772","16","14.255","-6.483","7.704","0.068"
2021,"USC","P12",6,"E8","0.9052","0.110","3.6","2.206",22,"112.0","0.776","92.0","4.555","18.1","17.4","35.7","27.3","37.5","24.8","52.1","42.2","34.8","34.2","67.2",3,"0.73","2.270","7.711","10","4.018","3.693","7.704","0.007"
2015,"Northern Iowa","MVC",5,"R32","0.9228","0.128","5.3","3.906",31,"115.4","4.176","93.0","3.555","17.8","19.2","27.0","26.9","39.8","27.0","53.3","44.0","39.8","32.1","58.5",1,"1.15","-0.150","7.709","15","6.033","1.676","2.709","5.000"
2021,"Villanova","BE",5,"S16","0.9076","0.113","3.2","1.806",16,"117.9","6.676","96.7","-0.145","13.5","19.0","27.9","24.8","30.0","25.8","52.8","51.0","35.2","35.4","65.1",2,"1.15","0.850","7.494","11","6.033","1.461","5.427","2.067"
2015,"Kansas","B12",2,"R32","0.9308","0.136","9.0","7.606",27,"113.6","2.376","90.6","5.955","19.2","17.5","34.9","31.6","42.6","33.8","46.4","43.4","37.9","31.5","67.2",1,"2.05","-1.050","7.417","16","11.138","-3.721","2.709","4.708"
2022,"Kentucky","SEC",2,"R64","0.9295","0.134","6.9","5.506",26,"119.4","8.176","95.4","1.155","16.7","17.5","37.7","24.9","28.0","25.4","53.5","47.3","34.7","30.8","67.8",0,"2.05","-2.050","7.415","14","11.138","-3.723","-4.507","11.922"
2023,"Arizona","P12",2,"R64","0.9292","0.134","7.6","6.206",28,"119.4","8.176","95.4","1.155","18.4","16.9","30.7","26.1","35.8","25.5","56.4","46.2","37.8","32.3","72.2",0,"2.05","-2.050","7.415","10","11.138","-3.723","-4.507","11.922"
2017,"Arizona","P12",2,"S16","0.9157","0.121","7.9","6.506",32,"117.6","6.376","95.6","0.955","16.6","17.4","33.2","26.0","40.5","28.6","51.5","48.4","39.0","31.0","67.1",2,"2.05","-0.050","7.402","25","11.138","-3.736","5.427","1.975"
2015,"Iowa","B10",7,"R32","0.9211","0.126","2.1","0.706",22,"114.0","2.776","92.0","4.555","17.1","18.9","35.6","30.3","38.0","29.1","47.3","43.7","33.3","32.6","64.6",1,"1.08","-0.080","7.377","17","2.839","4.538","2.709","4.668"
2015,"Xavier","BE",6,"S16","0.9049","0.110","1.3","-0.094",23,"115.7","4.476","95.1","1.455","18.1","18.8","31.3","27.3","38.5","33.3","53.7","48.9","35.1","34.6","65.5",2,"0.73","1.270","7.311","18","4.018","3.293","5.427","1.884"
2015,"Baylor","B12",3,"R64","0.9316","0.137","5.0","3.606",23,"116.3","5.076","92.7","3.855","20.1","19.3","41.9","31.5","38.6","32.1","46.1","46.4","38.2","29.8","62.1",0,"1.83","-1.830","7.238","19","7.944","-0.706","-4.507","11.745"
2013,"Wisconsin","B10",5,"R64","0.9406","0.146","4.6","3.206",23,"107.2","-4.024","84.3","12.255","15.7","18.0","32.6","26.9","29.7","25.7","48.0","42.8","33.0","28.9","61.9",0,"1.15","-1.150","7.227","13","6.033","1.194","-4.507","11.734"
2016,"Syracuse","ACC",10,"F4","0.8857","0.091","-0.3","-1.694",23,"111.9","0.676","93.6","2.955","18.1","20.4","33.5","35.3","35.4","28.0","47.2","48.1","36.0","30.7","65.5",4,"0.50","3.500","7.222","17","1.525","5.697","7.121","0.101"
2014,"Villanova","BE",2,"R32","0.9260","0.131","8.3","6.906",29,"115.2","3.976","92.5","4.055","17.3","20.0","32.6","28.7","44.5","38.6","53.8","43.0","35.6","35.3","67.6",1,"2.05","-1.050","7.112","16","11.138","-4.026","2.709","4.403"
2016,"Xavier","BE",2,"R32","0.9229","0.128","7.7","6.306",28,"117.0","5.776","94.3","2.255","17.4","19.3","35.2","26.0","41.7","33.6","49.8","48.6","36.3","31.1","72.4",1,"2.05","-1.050","7.109","18","11.138","-4.029","2.709","4.400"
2023,"Marquette","BE",2,"R32","0.9197","0.125","7.8","6.406",29,"118.7","7.476","96.0","0.555","15.3","22.5","26.2","31.7","27.0","29.1","58.2","50.3","35.3","34.7","68.4",1,"2.05","-1.050","7.106","11","11.138","-4.032","2.709","4.397"
2018,"Florida","SEC",6,"R32","0.9132","0.118","1.4","0.006",21,"115.2","3.976","93.9","2.655","14.3","20.0","28.7","30.5","32.6","32.4","47.6","46.6","37.0","35.2","68.5",1,"0.73","0.270","7.019","13","4.018","3.001","2.709","4.310"
2013,"Miami FL","ACC",2,"S16","0.9207","0.126","6.3","4.906",29,"112.4","1.176","90.8","5.755","16.7","18.4","31.3","28.4","34.6","28.3","50.6","44.0","36.2","32.6","63.0",2,"2.05","-0.050","7.007","14","11.138","-4.131","5.427","1.580"
2013,"VCU","A10",5,"R32","0.9195","0.124","2.6","1.206",27,"113.8","2.576","92.1","4.455","16.9","28.5","36.6","34.7","29.8","40.3","50.5","50.1","35.1","32.9","68.1",1,"1.15","-0.150","7.005","15","6.033","0.972","2.709","4.296"
2018,"Ohio St.","B10",5,"R32","0.9154","0.120","4.5","3.106",25,"116.0","4.776","94.3","2.255","17.1","17.9","30.2","25.2","31.1","29.5","54.7","46.1","35.3","35.1","68.2",1,"1.15","-0.150","7.001","14","6.033","0.968","2.709","4.292"
2014,"Wichita St.","MVC",1,"R32","0.9295","0.134","8.1","6.706",34,"116.4","5.176","93.0","3.555","16.2","18.2","35.0","26.2","46.9","35.7","52.3","43.6","35.0","31.1","65.1",1,"2.88","-1.880","6.985","17","14.255","-7.270","2.709","4.276"
2019,"LSU","SEC",3,"S16","0.9081","0.113","7.3","5.906",28,"117.9","6.676","96.6","-0.045","17.9","20.1","36.7","30.8","37.1","33.1","52.9","49.4","31.9","33.7","71.2",2,"1.83","0.170","6.914","14","7.944","-1.030","5.427","1.487"
2023,"Saint Mary's","WCC",5,"R32","0.9213","0.126","3.4","2.006",27,"112.1","0.876","90.5","6.055","16.4","19.2","32.6","21.9","32.0","29.9","50.8","45.7","36.1","33.3","61.9",1,"1.15","-0.150","6.907","12","6.033","0.874","2.709","4.198"
2021,"Loyola Chicago","MVC",8,"S16","0.9136","0.119","1.7","0.306",24,"108.5","-2.724","88.3","8.255","18.5","21.6","26.0","21.0","30.7","22.4","58.0","45.5","35.7","32.5","63.9",2,"0.80","1.200","6.850","12","2.325","4.525","5.427","1.423"
2023,"Florida Atlantic","CUSA",9,"F4","0.8815","0.086","4.7","3.306",35,"114.0","2.776","95.8","0.755","16.9","17.7","31.4","25.4","29.6","26.3","53.8","44.7","36.6","32.4","67.5",4,"0.77","3.230","6.847","13","1.981","4.866","7.121","-0.274"
2018,"Tennessee","SEC",3,"R32","0.9225","0.127","6.4","5.006",26,"114.2","2.976","92.0","4.555","17.9","20.4","33.4","31.1","35.5","37.6","47.3","46.1","38.0","31.8","67.1",1,"1.83","-0.830","6.828","15","7.944","-1.116","2.709","4.119"
2014,"Iowa","B10",11,"R68","0.9089","0.114","1.2","-0.194",20,"121.2","9.976","99.2","-2.645","15.9","18.8","37.6","29.0","45.3","35.4","50.6","47.3","35.0","31.7","70.9",0,"0.64","-0.640","6.805","18","0.224","6.581","-9.897","16.702"
2023,"Purdue","B10",1,"R64","0.9333","0.138","9.4","8.006",29,"117.9","6.676","93.7","2.855","17.2","15.4","38.4","23.5","37.2","19.2","54.1","47.2","32.2","31.3","63.9",0,"2.88","-2.880","6.789","14","14.255","-7.466","-4.507","11.296"
2018,"Xavier","BE",1,"R32","0.9211","0.126","8.8","7.406",29,"120.9","9.676","97.7","-1.145","17.2","15.7","30.2","23.1","41.0","25.6","55.9","49.8","37.2","33.4","71.7",1,"2.88","-1.880","6.777","16","14.255","-7.478","2.709","4.068"
2013,"Creighton","MVC",7,"R32","0.9117","0.117","3.5","2.106",28,"116.4","5.176","95.0","1.555","18.9","16.1","28.8","27.2","34.2","26.1","55.7","45.5","41.4","31.2","65.2",1,"1.08","-0.080","6.768","16","2.839","3.929","2.709","4.059"
2015,"Ohio St.","B10",10,"R32","0.9104","0.115","2.5","1.106",24,"113.9","2.676","93.1","3.455","17.0","21.6","33.5","32.0","34.7","27.8","53.6","45.2","37.0","32.2","66.3",1,"0.50","0.500","6.746","20","1.525","5.221","2.709","4.037"
2018,"Butler","BE",10,"R32","0.9068","0.112","1.7","0.306",21,"116.1","4.876","95.3","1.255","15.7","19.5","27.6","24.6","26.1","35.3","54.3","49.5","35.7","37.3","69.1",1,"0.50","0.500","6.743","17","1.525","5.218","2.709","4.034"
2022,"Texas","B12",6,"R32","0.9152","0.120","3.4","2.006",22,"112.5","1.276","91.5","5.055","17.8","23.0","31.6","29.8","32.0","39.0","50.5","46.6","33.0","31.8","63.5",1,"0.73","0.270","6.721","15","4.018","2.703","2.709","4.012"
2018,"Houston","Amer",6,"R32","0.9097","0.115","2.4","1.006",27,"114.8","3.576","93.9","2.655","17.5","19.1","33.8","25.8","32.6","41.6","50.5","43.8","38.7","32.3","69.4",1,"0.73","0.270","6.616","18","4.018","2.598","2.709","3.907"
2021,"Wisconsin","B10",9,"R32","0.9163","0.121","2.2","0.806",17,"111.3","0.076","90.4","6.155","13.5","17.8","23.7","25.1","26.9","28.5","46.3","47.1","36.0","33.0","65.0",1,"0.77","0.230","6.582","13","1.981","4.601","2.709","3.873"
2019,"Florida St.","ACC",4,"S16","0.9146","0.120","7.6","6.206",29,"111.7","0.476","90.9","5.655","18.9","20.3","32.8","27.0","35.8","35.7","50.9","45.3","33.2","33.5","70.0",2,"1.67","0.330","6.581","15","7.137","-0.556","5.427","1.154"
2017,"Butler","BE",4,"S16","0.9038","0.109","5.5","4.106",25,"117.7","6.476","96.9","-0.345","15.0","19.6","27.2","27.0","37.1","37.0","54.5","51.3","36.6","33.3","67.2",2,"1.67","0.330","6.570","26","7.137","-0.567","5.427","1.143"
2019,"Iowa St.","B12",6,"R64","0.9120","0.117","4.3","2.906",23,"118.4","7.176","96.6","-0.045","16.3","18.8","28.3","30.1","30.0","23.6","55.0","47.1","36.2","33.6","69.1",0,"0.73","-0.730","6.518","16","4.018","2.500","-4.507","11.025"
2018,"Kentucky","SEC",5,"S16","0.9000","0.105","4.3","2.906",26,"115.8","4.576","95.6","0.955","18.6","16.8","35.7","31.0","44.0","32.3","51.2","48.0","35.7","30.1","70.0",2,"1.15","0.850","6.486","19","6.033","0.453","5.427","1.059"
2023,"Miami FL","ACC",5,"F4","0.8715","0.076","3.7","2.306",29,"119.1","7.876","100.9","-4.345","16.1","18.1","31.8","28.8","30.7","24.0","53.8","51.8","36.8","33.5","68.6",4,"1.15","2.850","6.457","15","6.033","0.424","7.121","-0.664"
2016,"Texas A&M","SEC",3,"S16","0.9126","0.118","5.2","3.806",28,"113.0","1.776","92.2","4.355","17.4","20.7","34.8","29.2","38.1","32.3","51.3","45.6","34.1","33.3","68.4",2,"1.83","0.170","6.419","19","7.944","-1.525","5.427","0.992"
2013,"Marquette","BE",3,"E8","0.9020","0.107","4.5","3.106",26,"113.0","1.776","93.2","3.355","20.9","19.5","38.4","33.1","40.9","31.7","51.6","44.9","29.6","32.3","64.6",3,"1.83","1.170","6.408","17","7.944","-1.536","7.704","-1.296"
2014,"Baylor","B12",6,"S16","0.8885","0.093","3.1","1.706",24,"119.2","7.976","99.5","-2.945","17.8","15.8","40.1","32.0","44.8","32.3","48.3","46.4","38.0","35.6","62.9",2,"0.73","1.270","6.394","19","4.018","2.376","5.427","0.967"
2021,"Creighton","BE",5,"S16","0.9025","0.107","3.5","2.106",20,"114.4","3.176","94.3","2.255","15.8","17.8","24.8","28.2","26.9","25.7","56.3","46.1","36.7","32.1","69.1",2,"1.15","0.850","6.388","14","6.033","0.355","5.427","0.961"
2013,"Pittsburgh","BE",8,"R64","0.9217","0.127","3.1","1.706",24,"112.8","1.576","91.1","5.455","18.1","22.0","40.4","30.0","37.5","36.4","51.5","44.0","34.9","30.4","60.3",0,"0.80","-0.800","6.358","18","2.325","4.033","-4.507","10.865"
2021,"Connecticut","BE",7,"R64","0.9188","0.124","2.1","0.706",15,"114.6","3.376","92.8","3.755","17.6","19.6","36.9","29.8","29.6","36.9","49.0","45.6","33.6","31.6","65.7",0,"1.08","-1.080","6.175","15","2.839","3.336","-4.507","10.682"
2016,"Vanderbilt","SEC",11,"R68","0.9148","0.120","-0.3","-1.694",19,"114.5","3.276","93.2","3.355","16.8","14.2","27.2","29.3","39.8","34.4","50.1","42.6","38.2","29.4","68.7",0,"0.64","-0.640","6.111","20","0.224","5.887","-9.897","16.008"
2022,"Auburn","SEC",2,"R32","0.9228","0.128","7.4","6.006",28,"111.7","0.476","90.0","6.555","16.7","20.0","33.7","28.9","31.6","34.2","51.3","42.8","31.8","31.0","70.0",1,"2.05","-1.050","6.109","16","11.138","-5.029","2.709","3.400"
2013,"Georgetown","BE",2,"R64","0.9381","0.143","6.6","5.206",25,"107.6","-3.624","85.0","11.555","20.1","22.4","30.4","31.0","36.8","35.3","50.2","41.4","35.3","30.7","62.5",0,"2.05","-2.050","6.024","19","11.138","-5.114","-4.507","10.531"
2014,"Syracuse","ACC",3,"R32","0.9156","0.121","7.9","6.506",28,"114.2","2.976","92.8","3.755","14.8","21.9","38.1","31.5","38.2","36.7","47.7","45.5","33.1","34.5","61.5",1,"1.83","-0.830","6.022","20","7.944","-1.922","2.709","3.313"
2014,"Gonzaga","WCC",8,"R32","0.9064","0.111","4.0","2.606",28,"113.6","2.376","93.3","3.255","17.4","17.4","30.6","29.5","41.2","38.6","53.6","43.3","39.0","31.8","66.5",1,"0.80","0.200","5.942","21","2.325","3.617","2.709","3.233"
2013,"Minnesota","B10",11,"R32","0.9050","0.110","2.1","0.706",21,"112.6","1.376","92.5","4.055","21.6","20.2","43.6","33.2","41.6","36.7","48.8","42.8","33.7","33.9","64.1",1,"0.64","0.360","5.901","20","0.224","5.677","2.709","3.192"
2021,"San Diego St.","MWC",6,"R64","0.9191","0.124","2.8","1.406",23,"111.1","-0.124","90.0","6.555","16.9","22.5","29.9","24.4","34.3","32.7","50.5","44.6","37.5","32.8","66.0",0,"0.73","-0.730","5.825","16","4.018","1.807","-4.507","10.332"
2021,"Texas Tech","B12",6,"R32","0.9057","0.111","0.9","-0.494",17,"112.3","1.076","92.2","4.355","16.2","23.8","33.8","29.7","39.3","36.4","48.7","44.8","34.7","35.1","65.7",1,"0.73","0.270","5.812","17","4.018","1.794","2.709","3.103"
2021,"Arkansas","SEC",3,"E8","0.8997","0.105","4.6","3.206",22,"110.4","-0.824","91.2","5.355","17.4","20.3","31.7","26.2","32.7","29.3","51.9","46.9","33.9","32.6","73.1",3,"1.83","1.170","5.806","18","7.944","-2.138","7.704","-1.898"
2023,"Baylor","B12",3,"R32","0.8991","0.104","5.2","3.806",23,"121.7","10.476","100.6","-4.045","17.9","19.9","34.4","30.9","36.8","31.3","51.6","53.3","36.8","32.5","66.9",1,"1.83","-0.830","5.705","16","7.944","-2.239","2.709","2.996"
2023,"Duke","ACC",5,"R32","0.9072","0.112","4.5","3.106",27,"113.3","2.076","92.9","3.655","18.3","16.5","35.9","26.1","29.9","23.7","51.5","46.2","33.5","30.5","64.9",1,"1.15","-0.150","5.693","17","6.033","-0.340","2.709","2.984"
2018,"Clemson","ACC",5,"S16","0.8984","0.103","3.9","2.506",25,"112.5","1.276","93.1","3.455","17.4","17.4","27.2","26.3","33.5","27.2","51.6","43.9","36.6","35.2","67.2",2,"1.15","0.850","5.684","20","6.033","-0.349","5.427","0.257"
2015,"Butler","BE",6,"R32","0.9115","0.116","3.5","2.106",23,"108.5","-2.724","88.6","7.955","17.0","19.5","34.7","25.3","40.8","33.4","46.3","47.1","35.6","30.7","63.9",1,"0.73","0.270","5.617","21","4.018","1.599","2.709","2.908"
2021,"Colorado","P12",5,"R32","0.9045","0.109","2.6","1.206",22,"113.7","2.476","93.5","3.055","16.8","19.8","30.9","25.6","29.9","28.0","50.3","46.5","36.7","33.3","66.3",1,"1.15","-0.150","5.490","19","6.033","-0.543","2.709","2.781"
2014,"Oklahoma St.","B12",9,"R64","0.9067","0.112","1.4","0.006",21,"115.6","4.376","94.8","1.755","14.7","20.0","28.0","32.0","49.7","41.0","51.3","45.0","36.4","32.7","69.2",0,"0.77","-0.770","5.473","22","1.981","3.492","-4.507","9.980"
2022,"Memphis","Amer",9,"R32","0.9028","0.108","1.4","0.006",22,"112.4","1.176","92.6","3.955","22.5","20.4","37.4","30.9","37.8","33.2","51.9","45.5","35.5","32.0","70.0",1,"0.77","0.230","5.469","17","1.981","3.488","2.709","2.760"
2017,"Xavier","BE",11,"E8","0.8713","0.076","1.6","0.206",24,"115.6","4.376","97.9","-1.345","18.4","17.5","34.5","25.5","41.1","33.4","52.0","52.5","34.5","33.4","68.4",3,"0.64","2.360","5.467","27","0.224","5.243","7.704","-2.237"
2014,"Iowa St.","B12",3,"S16","0.8903","0.095","7.5","6.106",28,"118.6","7.376","98.8","-2.245","14.5","15.9","28.8","28.5","36.4","30.7","54.4","46.0","35.8","34.1","71.6",2,"1.83","0.170","5.396","23","7.944","-2.548","5.427","-0.031"
2013,"Saint Louis","A10",4,"R32","0.9181","0.123","3.8","2.406",28,"108.0","-3.224","87.5","9.055","17.6","23.6","27.9","29.1","44.0","35.0","50.0","44.1","34.0","33.1","64.7",1,"1.67","-0.670","5.284","21","7.137","-1.853","2.709","2.575"
2019,"Kansas","B12",4,"R32","0.9092","0.114","8.3","6.906",26,"112.9","1.676","92.4","4.155","18.8","18.2","30.1","27.9","32.5","27.8","52.6","46.0","35.0","33.6","71.5",1,"1.67","-0.670","5.275","17","7.137","-1.862","2.709","2.566"
2016,"Butler","BE",9,"R32","0.8899","0.095","2.0","0.606",22,"118.2","6.976","98.6","-2.045","14.5","18.6","32.2","27.5","39.3","35.8","49.9","49.1","39.3","33.8","69.2",1,"0.77","0.230","5.256","21","1.981","3.275","2.709","2.547"
